cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,source_url,source_type,form_type,initial_matrix_confidence,observed_text_excerpt
1868941,FLNC,"Fluence Energy, Inc.",2021-10-28,2022-10-28,published_on_time,2022-01-28,0001140361-22-003004,https://www.sec.gov/Archives/edgar/data/1868941/000114036122003004/ny20002104x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"the attention of the Corporate Secretary at our offices at 4601 Fairfax Drive, Suite 600, Arlington, Virginia 22203. The Corporate Secretary will forward the communication to the appropriate director or directors as appropriate. 24 TABLE OF CONTENTS Board Diversity Matrix The matrix below sets forth the self-identified gender identity and demographic diversity attributes of each of our directors as of January 28, 2022. Please see “Information About Director Nominees,” above, for biographical inf"
1865408,,"Exscientia plc",2021-10-01,2022-10-01,published_on_time,2022-03-23,0001865408-22-000005,https://www.sec.gov/Archives/edgar/data/1865408/000186540822000005/exai-20211231.htm,edgar_filing,20-F,0.95,"ersity, a master’s degree in Commerce from Waseda University and a M.B.A. from Harvard Business School. We believe Ms. Xu’s experience as an investor in the biopharma and life sciences industries qualifies her to serve on our board of directors. 176 Board Diversity Matrix (as of December 31, 2021) Country of Principal Executive Offices: United Kingdom Foreign Private Issuer: Yes Disclosure Prohibited under Home Country Law: No Total Number of Directors: 7 Part I: Gender Identity Female Male Non-"
1689731,,"Southern States Bancshares, Inc.",2021-08-12,2022-08-12,published_on_time,2022-03-30,0001628280-22-007803,https://www.sec.gov/Archives/edgar/data/1689731/000162828022007803/a2022proxy-def14a.htm,edgar_filing,"DEF 14A",0.95,"d of director’s priority in selecting board members is the identification of persons who will further the interests of our stockholders through his or her record of professional and personal experiences and expertise relevant to our growth strategy. Board Diversity Matrix The table below contains information based on the voluntary self-identification of each member of the Company’s board as of March 30, 2022. Board Diversity Matrix (as of March 23, 2022) Total Number of Directors 11 Female Male "
1875444,ARHS,"Arhaus, Inc.",2021-11-04,2022-11-04,published_on_time,2022-04-04,0001193125-22-094328,https://www.sec.gov/Archives/edgar/data/1875444/000119312522094328/d295938ddef14a.htm,edgar_filing,"DEF 14A",0.95,"Ms. Hyde and Messrs. Adams, Beargie, Brutocao, Doody, Kyees, Lewis and Roth qualify as “independent directors,” as defined under the rules of Nasdaq. Mr. Reed is the Company’s CEO and, therefore, not independent from the Company. Board Diversity The Board Diversity Matrix sets forth information about the diversity of the Board of Directors in accordance with the recently adopted Nasdaq board diversity disclosure rules. Each of the categories listed below has the meaning as used in Nasdaq Rule 56"
1590418,FCUV,"FOCUS UNIVERSAL INC.",2021-09-01,2022-09-01,published_on_time,2022-04-06,0001683168-22-002377,https://www.sec.gov/Archives/edgar/data/1590418/000168316822002377/focus_def14a.htm,edgar_filing,"DEF 14A",0.85,"son of Audit Committee. (5) Chairperson of Compensation Committee. (6) Chairperson of Nominating and Corporate Governance Committee. 2 The following provides certain information with respect to the diversity of our nominees and continuing directors. Board of Directors Diversity Matrix Total Director Nominees and Continuing Directors 7 Female Male Gender Identity Directors 3 4 Demographic Background African American or Black – – Alaskan Native or Native American – – Asian 1 2 Hispanic, Latinx or "
1649739,BAFN,"BayFirst Financial Corp.",2021-11-12,2022-11-12,published_on_time,2022-04-07,0001649739-22-000137,https://www.sec.gov/Archives/edgar/data/1649739/000164973922000137/def14a-proxy2022.htm,edgar_filing,"DEF 14A",0.95,"es, the markets the Bank serves, and other stakeholders. To that end, the Board and its Nominating Committee has recruited and nominated a diverse group of directors. The diversity of the composition of the Board is disclosed in the following table. Board Diversity Matrix (as of March 31, 2022) Total Number of Directors Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 11 — — Part II: Demographic Background African American or Black — 1 — — Alaskan Native or Nati"
1657853,HTZ,"HERTZ GLOBAL HOLDINGS, INC",2021-11-09,2022-11-09,published_on_time,2022-04-08,0001140361-22-013707,https://www.sec.gov/Archives/edgar/data/1657853/000114036122013707/edge20001995x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"rse backgrounds, experiences and skills as part of each director search the Board undertakes. The table below provides additional information regarding our directors’ self-identified gender and demographic background in accordance with Nasdaq Rules. Board Diversity Matrix (as of March 25, 2022) Total Number of Directors 9 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 7 0 0 Part II: Demographic Background African American or Black 0 0 0 0 Alaskan Native or Nat"
1789940,FWRG,"First Watch Restaurant Group, Inc.",2021-10-01,2022-10-01,published_on_time,2022-04-11,0001789940-22-000044,https://www.sec.gov/Archives/edgar/data/1789940/000178994022000044/fwrg-proxystatement2022.htm,edgar_filing,"DEF 14A",0.85,"10b5-1 plan or outside of the three business day period following pre-clearance approval under the Company’s insider trading policy. 12 Board Diversity The following table sets forth certain diversity statistics concerning the members of the Board: Board Diversity Matrix (as of April 11, 2022) Total Number of Directors: 8 Female Male Part I: Gender Identity Directors 3 5 Part II: Demographic Background African American or Black 1 - Hispanic or Latinx - 1 White 2 4 Communications with the Company"
1544522,FRSH,"Freshworks Inc.",2021-09-22,2022-09-22,published_on_time,2022-04-11,0001544522-22-000005,https://www.sec.gov/Archives/edgar/data/1544522/000154452222000005/freshworks-proxystatement2.htm,edgar_filing,"DEF 14A",0.95,"ersity and an M.B.A. from Harvard Business School. 8 We believe Ms. Taylor is qualified to serve as a member of our board of directors because of her product development expertise and strong experience in the technology industry. Board Diversity The Board Diversity Matrix, below, provides the diversity statistics for our board of directors. Board Diversity Matrix (As of April 11, 2022) Total Number of Directors 8 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 3"
1861795,DH,"Definitive Healthcare Corp.",2021-09-15,2022-09-15,published_on_time,2022-04-12,0001193125-22-102925,https://www.sec.gov/Archives/edgar/data/1861795/000119312522102925/d290538ddef14a.htm,edgar_filing,"DEF 14A",0.85,"trading policy also prohibits directors, officers and employees from pledging the Company’s stock as collateral for loans. Board Diversity The following table sets forth certain diversity statistics concerning the members of the Board of Directors: Board Diversity Matrix (as of April 12, 2022) Total Number of Directors 10 Female Male Part I: Gender Identity Directors 3 7 Part II: Demographic Background White 3 7 Executive Officers of the Company Set forth below is certain information regarding e"
